scheduler,round,order_pos,workers,elapsed_s
p2c,1,1,5,49.51
linucb,1,2,5,50.78
hybrid-linucb,1,3,5,47.34
leastloaded,1,4,5,47.27
p2c,2,1,5,50.00
linucb,2,2,5,53.75
leastloaded,2,3,5,46.37
hybrid-linucb,2,4,5,46.47
leastloaded,3,1,5,46.06
p2c,3,2,5,53.76
linucb,3,3,5,53.98
hybrid-linucb,3,4,5,54.65
p2c,4,1,5,53.21
linucb,4,2,5,53.03
leastloaded,4,3,5,62.92
hybrid-linucb,4,4,5,50.50
leastloaded,5,1,5,64.15
linucb,5,2,5,63.46
p2c,5,3,5,62.91
hybrid-linucb,5,4,5,53.92
p2c,6,1,5,63.58
hybrid-linucb,6,2,5,50.79
leastloaded,6,3,5,48.84
linucb,6,4,5,63.53
p2c,7,1,5,60.01
hybrid-linucb,7,2,5,50.22
linucb,7,3,5,70.15
leastloaded,7,4,5,50.22
linucb,8,1,5,60.10
leastloaded,8,2,5,48.46
p2c,8,3,5,52.66
hybrid-linucb,8,4,5,52.17
linucb,9,1,5,65.40
hybrid-linucb,9,2,5,46.21
leastloaded,9,3,5,46.12
p2c,9,4,5,52.81
hybrid-linucb,10,1,5,101.93
leastloaded,10,2,5,53.15
linucb,10,3,5,60.30
p2c,10,4,5,53.78
