scheduler,round,order_pos,workers,elapsed_s
p2c,1,1,5,45.72
linucb,1,2,5,49.13
hybrid-linucb,1,3,5,40.42
leastloaded,1,4,5,42.10
p2c,2,1,5,47.30
linucb,2,2,5,45.50
leastloaded,2,3,5,38.87
hybrid-linucb,2,4,5,38.94
leastloaded,3,1,5,41.02
p2c,3,2,5,44.02
linucb,3,3,5,47.60
hybrid-linucb,3,4,5,39.97
p2c,4,1,5,45.29
linucb,4,2,5,47.37
leastloaded,4,3,5,39.87
hybrid-linucb,4,4,5,39.38
leastloaded,5,1,5,39.70
linucb,5,2,5,44.27
p2c,5,3,5,45.00
hybrid-linucb,5,4,5,42.40
p2c,6,1,5,47.28
hybrid-linucb,6,2,5,40.84
leastloaded,6,3,5,41.23
linucb,6,4,5,47.89
p2c,7,1,5,48.16
hybrid-linucb,7,2,5,40.72
linucb,7,3,5,46.78
leastloaded,7,4,5,40.33
linucb,8,1,5,46.33
leastloaded,8,2,5,39.23
p2c,8,3,5,44.61
hybrid-linucb,8,4,5,40.61
linucb,9,1,5,48.58
hybrid-linucb,9,2,5,40.26
leastloaded,9,3,5,40.16
p2c,9,4,5,45.48
hybrid-linucb,10,1,5,42.05
leastloaded,10,2,5,41.31
linucb,10,3,5,47.69
p2c,10,4,5,47.26
