scheduler,run,workers,elapsed_s
leastloaded,1,5,44
leastloaded,2,5,46
leastloaded,3,5,45
leastloaded,4,5,44
leastloaded,5,5,44
leastloaded,6,5,45
leastloaded,7,5,45
leastloaded,8,5,44
leastloaded,9,5,43
leastloaded,10,5,45
p2c,1,5,48
p2c,2,5,47
p2c,3,5,45
p2c,4,5,48
p2c,5,5,47
p2c,6,5,48
p2c,7,5,46
p2c,8,5,46
p2c,9,5,45
p2c,10,5,45
linucb,1,5,52
linucb,2,5,50
linucb,3,5,51
linucb,4,5,46
linucb,5,5,47
linucb,6,5,46
linucb,7,5,48
linucb,8,5,48
linucb,9,5,48
linucb,10,5,50
hybrid-linucb,1,5,42
hybrid-linucb,2,5,42
hybrid-linucb,3,5,41
hybrid-linucb,4,5,43
hybrid-linucb,5,5,40
hybrid-linucb,6,5,40
hybrid-linucb,7,5,41
hybrid-linucb,8,5,40
hybrid-linucb,9,5,42
hybrid-linucb,10,5,41
