scheduler,session,build_idx,workers,elapsed_s
hybrid-linucb,1,1,5,46.12
hybrid-linucb,1,2,5,43.38
hybrid-linucb,1,3,5,47.08
hybrid-linucb,1,4,5,43.96
hybrid-linucb,1,5,5,42.93
hybrid-linucb,1,6,5,41.52
hybrid-linucb,1,7,5,41.73
hybrid-linucb,1,8,5,41.81
hybrid-linucb,2,1,5,42.88
hybrid-linucb,2,2,5,40.86
hybrid-linucb,2,3,5,38.45
hybrid-linucb,2,4,5,43.95
hybrid-linucb,2,5,5,44.86
hybrid-linucb,2,6,5,50.65
hybrid-linucb,2,7,5,41.20
hybrid-linucb,2,8,5,42.18
hybrid-linucb,3,1,5,42.50
hybrid-linucb,3,2,5,39.82
hybrid-linucb,3,3,5,43.48
hybrid-linucb,3,4,5,42.91
hybrid-linucb,3,5,5,42.36
hybrid-linucb,3,6,5,41.37
hybrid-linucb,3,7,5,39.01
hybrid-linucb,3,8,5,39.48
hybrid-linucb,4,1,5,42.65
hybrid-linucb,4,2,5,42.42
hybrid-linucb,4,3,5,44.65
hybrid-linucb,4,4,5,45.07
hybrid-linucb,4,5,5,50.53
hybrid-linucb,4,6,5,42.37
hybrid-linucb,4,7,5,41.09
hybrid-linucb,4,8,5,43.77
hybrid-linucb,5,1,5,42.13
hybrid-linucb,5,2,5,52.10
hybrid-linucb,5,3,5,44.03
hybrid-linucb,5,4,5,41.52
hybrid-linucb,5,5,5,42.06
hybrid-linucb,5,6,5,42.24
hybrid-linucb,5,7,5,43.68
hybrid-linucb,5,8,5,44.71
hybrid-linucb,6,1,5,46.69
hybrid-linucb,6,2,5,40.72
hybrid-linucb,6,3,5,41.98
hybrid-linucb,6,4,5,42.29
hybrid-linucb,6,5,5,41.94
hybrid-linucb,6,6,5,47.48
hybrid-linucb,6,7,5,54.41
hybrid-linucb,6,8,5,48.71
leastloaded,1,1,5,46.10
leastloaded,1,2,5,41.14
leastloaded,1,3,5,42.07
leastloaded,1,4,5,44.28
leastloaded,1,5,5,45.61
leastloaded,1,6,5,44.21
leastloaded,1,7,5,45.25
leastloaded,1,8,5,46.50
leastloaded,2,1,5,49.35
leastloaded,2,2,5,44.01
leastloaded,2,3,5,39.68
leastloaded,2,4,5,39.80
leastloaded,2,5,5,40.91
leastloaded,2,6,5,46.43
leastloaded,2,7,5,42.90
leastloaded,2,8,5,41.72
leastloaded,3,1,5,42.37
leastloaded,3,2,5,45.76
leastloaded,3,3,5,43.93
leastloaded,3,4,5,40.58
leastloaded,3,5,5,40.37
leastloaded,3,6,5,41.60
leastloaded,3,7,5,41.00
leastloaded,3,8,5,40.32
leastloaded,4,1,5,44.07
leastloaded,4,2,5,41.30
leastloaded,4,3,5,41.21
leastloaded,4,4,5,41.80
leastloaded,4,5,5,43.60
leastloaded,4,6,5,42.07
leastloaded,4,7,5,39.30
leastloaded,4,8,5,39.99
leastloaded,5,1,5,43.86
leastloaded,5,2,5,41.16
leastloaded,5,3,5,42.44
leastloaded,5,4,5,40.15
leastloaded,5,5,5,39.58
leastloaded,5,6,5,41.48
leastloaded,5,7,5,40.76
leastloaded,5,8,5,48.71
leastloaded,6,1,5,45.31
leastloaded,6,2,5,42.85
leastloaded,6,3,5,44.48
leastloaded,6,4,5,41.62
leastloaded,6,5,5,39.26
leastloaded,6,6,5,40.79
leastloaded,6,7,5,40.21
leastloaded,6,8,5,39.99
