scheduler,round,order_pos,workers,elapsed_s
p2c,1,1,5,49.05
linucb,1,2,5,52.42
hybrid-linucb,1,3,5,53.66
leastloaded,1,4,5,52.44
p2c,2,1,5,53.42
linucb,2,2,5,50.68
leastloaded,2,3,5,52.80
hybrid-linucb,2,4,5,57.23
leastloaded,3,1,5,53.22
p2c,3,2,5,51.52
linucb,3,3,5,47.22
hybrid-linucb,3,4,5,51.07
p2c,4,1,5,46.15
linucb,4,2,5,55.63
leastloaded,4,3,5,50.88
hybrid-linucb,4,4,5,48.58
leastloaded,5,1,5,48.84
linucb,5,2,5,43.66
p2c,5,3,5,40.35
hybrid-linucb,5,4,5,39.92
p2c,6,1,5,39.74
hybrid-linucb,6,2,5,42.94
leastloaded,6,3,5,45.64
linucb,6,4,5,42.80
p2c,7,1,5,40.04
hybrid-linucb,7,2,5,40.60
linucb,7,3,5,43.07
leastloaded,7,4,5,43.17
linucb,8,1,5,42.13
leastloaded,8,2,5,42.90
p2c,8,3,5,43.20
hybrid-linucb,8,4,5,39.65
linucb,9,1,5,42.51
hybrid-linucb,9,2,5,41.39
leastloaded,9,3,5,42.86
p2c,9,4,5,42.57
hybrid-linucb,10,1,5,42.54
leastloaded,10,2,5,46.77
linucb,10,3,5,48.49
p2c,10,4,5,42.76
